;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
Loss;0.0;(0.2)-closeness;FARS;1.0;0.0;0.0
Loss;0.0;(0.2)-closeness;ATUS;0.03223523492628744;1.0;0.5135054642017027
Loss;0.0;(0.2)-closeness;IHIS;1.0;0.7321737886695339;0.4710363600210309
Loss;0.0;(0.05, 0.015)-presence;ADULT;0.19616154705401215;0.6313450672718965;0.6313450672718965
Loss;0.0;(0.05, 0.015)-presence;CUP;1.0;1.0;1.0
Loss;0.0;(0.05, 0.015)-presence;FARS;0.3043890250070689;0.3423105761963649;0.3423105761963649
Loss;0.0;(0.05, 0.015)-presence;ATUS;0.23330944429531303;0.7348472427029545;0.7230640909588384
Loss;0.0;(0.05, 0.015)-presence;IHIS;0.7570248099189076;0.5342155782161228;0.5342155782161228
Loss;0.0;(0.01)-uniqueness;ADULT;0.08597102349294329;0.08597102349294329;0.08597102349294329
Loss;0.0;(0.01)-uniqueness;CUP;0.039302909652130284;0.12972103811115265;0.12972103811115265
Loss;0.0;(0.01)-uniqueness;FARS;0.011548760734244127;0.03475728101476894;0.03475728101476894
Loss;0.0;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Loss;0.0;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Loss;0.1;(5)-anonymity;ADULT;0.04152012216775855;0.26723785201427036;0.26723785201427036
Loss;0.1;(5)-anonymity;CUP;0.14879226707758583;0.6636425127384331;0.6636425127384331
Loss;0.1;(5)-anonymity;FARS;0.01612348783698791;0.15668072146323272;0.15668072146323272
Loss;0.1;(5)-anonymity;ATUS;0.07651823356925207;0.07651823356925207;0.07651823356925207
Loss;0.1;(5)-anonymity;IHIS;0.04631674822948968;0.04631674822948968;0.04631674822948968
Loss;0.1;recursive-(4,3)-diversity;ADULT;0.03149063620034062;0.2851803117646204;0.2851803117646204
Loss;0.1;recursive-(4,3)-diversity;CUP;0.0648042197773118;0.6566926584136629;0.6566926584136629
Loss;0.1;recursive-(4,3)-diversity;FARS;0.028273898451169583;0.1423100962958862;0.1423100962958862
Loss;0.1;recursive-(4,3)-diversity;ATUS;0.0;0.47106997431889025;0.47106997431889025
Loss;0.1;recursive-(4,3)-diversity;IHIS;0.016565025392788545;0.2365702722543814;0.2365702722543814
Loss;0.1;(0.2)-closeness;ADULT;0.1202024133765513;0.6702576240387248;0.6702576240387248
