;;;;Time;Quality;Complete
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;1.0;SS13ACS_25;374.0;0.2557621187597767;false
AECS;(5)-anonymity;1.0;SS13ACS_25;449.0;0.25709870406853813;false
AECS;(5)-anonymity;1.0;SS13ACS_25;492.0;0.3068193888751194;false
AECS;(5)-anonymity;1.0;SS13ACS_25;511.0;0.31321009560634566;false
AECS;(5)-anonymity;1.0;SS13ACS_25;530.0;0.3195664806043211;false
AECS;(5)-anonymity;1.0;SS13ACS_25;648.0;0.3704289172402506;false
AECS;(5)-anonymity;1.0;SS13ACS_25;667.0;0.38849382040718633;false
AECS;(5)-anonymity;1.0;SS13ACS_25;803.0;0.43874821310639456;false
AECS;(5)-anonymity;1.0;SS13ACS_25;959.0;0.4636169737853726;false
AECS;(5)-anonymity;1.0;SS13ACS_25;984.0;0.4824590163934428;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1114.0;0.5138726175375096;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1146.0;0.5244977045964351;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1189.0;0.5255544840887175;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1270.0;0.547509962536092;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1283.0;0.5588328375213621;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1302.0;0.5730710592081482;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1425.0;0.5901054699375599;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1438.0;0.6262448291711352;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1469.0;0.6291203537250524;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1593.0;0.6414884880927036;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1636.0;0.6694689004544567;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1747.0;0.6886025834342294;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1829.0;0.7020480736598249;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1903.0;0.7188206377422257;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1978.0;0.721442973612694;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2027.0;0.7240583072511982;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2056.0;0.7413169712265072;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2131.0;0.7455841607019165;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2209.0;0.7624667410522701;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2302.0;0.7641388082953392;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2361.0;0.7790572352373928;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2454.0;0.7839785569810039;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2514.0;0.801807482135351;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2743.0;0.8034116840027439;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2809.0;0.8232354713374472;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2925.0;0.8255862212077193;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2991.0;0.8487704918032786;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3054.0;0.8495333228641071;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3106.0;0.8510570802889831;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3173.0;0.8817445198679938;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3288.0;0.8854165969381949;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3354.0;0.9142620974912565;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3469.0;0.9170957369158232;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3528.0;0.9401308360266344;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3637.0;0.9428821356832761;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3695.0;0.966589972198255;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3799.0;0.9692583067979503;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3862.0;0.9765535646206633;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3909.0;0.9798490661762375;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3933.0;0.9844414086217365;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3935.0;0.9864019710035061;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3960.0;0.9896595208070619;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3984.0;0.9941990982663321;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4012.0;0.996782213962366;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4042.0;0.9980708061207204;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4063.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_30;10.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_30;17.0;0.9562530894710825;false
AECS;(5)-anonymity;1.0;SS13ACS_30;215.0;0.974859429065744;false
AECS;(5)-anonymity;1.0;SS13ACS_30;222.0;0.9795205811896226;false
AECS;(5)-anonymity;1.0;SS13ACS_30;427.0;0.9867408682302568;false
AECS;(5)-anonymity;1.0;SS13ACS_30;723.0;0.9896980778664763;false
AECS;(5)-anonymity;1.0;SS13ACS_30;965.0;0.9916698705626041;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1212.0;0.9919976869771217;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1220.0;0.9924212569278187;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1311.0;0.9925036393402478;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1319.0;0.9925387151744475;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1369.0;0.9926661573720398;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1459.0;0.9929268308881642;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1468.0;0.9932124184216315;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1559.0;0.9934992634211517;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1567.0;0.9935617098801514;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1708.0;0.9937463077052915;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1717.0;0.9940938904095441;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1958.0;0.9943616699209822;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1966.0;0.9945934256055364;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2212.0;0.994738262277388;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2229.0;0.9947918932278793;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2254.0;0.9948539997203476;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2429.0;0.994880465555206;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2462.0;0.9950546246257922;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2478.0;0.9950718255216525;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2503.0;0.9951317257906352;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2678.0;0.9951826970342456;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2711.0;0.9953667115458958;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2753.0;0.9954325259515572;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2786.0;0.9954488894949461;false
