;;;;Time;Utility;Complete
Utility measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;0.0;SS13ACS_15;1270.0;1.0;false
AECS;(5)-anonymity;0.0;SS13ACS_20;3841.0;0.0;false
AECS;(5)-anonymity;0.0;SS13ACS_20;41033.0;1.0;false
AECS;(5)-anonymity;0.0;SS13ACS_25;7082.0;0.0;false
AECS;(5)-anonymity;0.0;SS13ACS_25;9960.0;1.0;false
AECS;(5)-anonymity;0.0;SS13ACS_30;18690.0;0.0;false
AECS;(5)-anonymity;0.0;SS13ACS_30;29712.0;0.1449999999999999;false
AECS;(5)-anonymity;0.0;SS13ACS_30;174058.0;0.73921568627451;false
AECS;(5)-anonymity;0.0;SS13ACS_30;204164.0;0.9321428571428573;false
AECS;(5)-anonymity;0.0;SS13ACS_30;252346.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_15;7.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_15;17.0;0.11376842277103066;false
AECS;(5)-anonymity;1.0;SS13ACS_15;28.0;0.1330589756029711;false
AECS;(5)-anonymity;1.0;SS13ACS_15;45.0;0.216833497814747;false
AECS;(5)-anonymity;1.0;SS13ACS_15;50.0;0.23562613123213755;false
AECS;(5)-anonymity;1.0;SS13ACS_15;96.0;0.3501544187519803;false
AECS;(5)-anonymity;1.0;SS13ACS_15;108.0;0.3935904250083673;false
AECS;(5)-anonymity;1.0;SS13ACS_15;119.0;0.40437284687172936;false
AECS;(5)-anonymity;1.0;SS13ACS_15;165.0;0.5279567570355238;false
AECS;(5)-anonymity;1.0;SS13ACS_15;170.0;0.6172024791545905;false
AECS;(5)-anonymity;1.0;SS13ACS_15;203.0;0.7569725473039484;false
AECS;(5)-anonymity;1.0;SS13ACS_15;216.0;0.8088432862448452;false
AECS;(5)-anonymity;1.0;SS13ACS_15;241.0;0.9508453773818778;false
AECS;(5)-anonymity;1.0;SS13ACS_15;304.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_20;10.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_20;22.0;0.07600465928945811;false
AECS;(5)-anonymity;1.0;SS13ACS_20;43.0;0.08256827425915161;false
AECS;(5)-anonymity;1.0;SS13ACS_20;90.0;0.08747099767981426;false
AECS;(5)-anonymity;1.0;SS13ACS_20;109.0;0.137150997150997;false
AECS;(5)-anonymity;1.0;SS13ACS_20;155.0;0.2092119866814649;false
AECS;(5)-anonymity;1.0;SS13ACS_20;176.0;0.21219512195121962;false
AECS;(5)-anonymity;1.0;SS13ACS_20;196.0;0.2211049723756907;false
AECS;(5)-anonymity;1.0;SS13ACS_20;268.0;0.257602179836512;false
AECS;(5)-anonymity;1.0;SS13ACS_20;288.0;0.3235919234856536;false
AECS;(5)-anonymity;1.0;SS13ACS_20;328.0;0.3426160337552742;false
AECS;(5)-anonymity;1.0;SS13ACS_20;419.0;0.40319258496395466;false
AECS;(5)-anonymity;1.0;SS13ACS_20;439.0;0.41088295687884996;false
AECS;(5)-anonymity;1.0;SS13ACS_20;550.0;0.47317317317317303;false
AECS;(5)-anonymity;1.0;SS13ACS_20;584.0;0.4768115942028985;false
AECS;(5)-anonymity;1.0;SS13ACS_20;668.0;0.4816458852867831;false
AECS;(5)-anonymity;1.0;SS13ACS_20;680.0;0.540486618004866;false
AECS;(5)-anonymity;1.0;SS13ACS_20;823.0;0.5722035525684112;false
AECS;(5)-anonymity;1.0;SS13ACS_20;837.0;0.5800000000000002;false
AECS;(5)-anonymity;1.0;SS13ACS_20;843.0;0.5943414170232999;false
AECS;(5)-anonymity;1.0;SS13ACS_20;952.0;0.6499767981438513;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1093.0;0.7009977324263037;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1253.0;0.7459351399378054;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1399.0;0.7816950633464396;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1538.0;0.795486111111111;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1544.0;0.8063903281519861;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1663.0;0.8198627198627197;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1797.0;0.820754716981132;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1803.0;0.8358024691358025;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1917.0;0.8366808510638297;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1923.0;0.8523648648648647;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2033.0;0.8532292106373996;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2039.0;0.8695142378559464;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2162.0;0.8703641691084136;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2170.0;0.9021425628347753;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2288.0;0.9029654036243823;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2295.0;0.9289430894308942;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2346.0;0.9526907630522088;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2398.0;0.9728139904610492;false
AECS;(5)-anonymity;1.0;SS13ACS_20;2448.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_25;11.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_25;25.0;0.05286958737126803;false
AECS;(5)-anonymity;1.0;SS13ACS_25;69.0;0.06069872408605099;false
AECS;(5)-anonymity;1.0;SS13ACS_25;119.0;0.07467422041260553;false
AECS;(5)-anonymity;1.0;SS13ACS_25;148.0;0.10218258737560716;false
