;;;;Time;Utility;Complete
Utility measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;1.0;SS13ACS_25;563.0;0.25709870406853813;false
AECS;(5)-anonymity;1.0;SS13ACS_25;620.0;0.3068193888751194;false
AECS;(5)-anonymity;1.0;SS13ACS_25;644.0;0.31321009560634566;false
AECS;(5)-anonymity;1.0;SS13ACS_25;669.0;0.3195664806043211;false
AECS;(5)-anonymity;1.0;SS13ACS_25;823.0;0.3704289172402506;false
AECS;(5)-anonymity;1.0;SS13ACS_25;848.0;0.38849382040718633;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1027.0;0.43874821310639456;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1229.0;0.4636169737853726;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1262.0;0.4824590163934428;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1432.0;0.5138726175375096;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1472.0;0.5244977045964351;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1529.0;0.5255544840887175;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1635.0;0.547509962536092;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1651.0;0.5588328375213621;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1675.0;0.5730710592081482;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1837.0;0.5901054699375599;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1853.0;0.6262448291711352;false
AECS;(5)-anonymity;1.0;SS13ACS_25;1893.0;0.6291203537250524;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2054.0;0.6414884880927036;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2111.0;0.6694689004544567;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2255.0;0.6886025834342294;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2359.0;0.7020480736598249;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2453.0;0.7188206377422257;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2549.0;0.721442973612694;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2613.0;0.7240583072511982;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2650.0;0.7413169712265072;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2747.0;0.7455841607019165;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2848.0;0.7624667410522701;false
AECS;(5)-anonymity;1.0;SS13ACS_25;2968.0;0.7641388082953392;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3046.0;0.7790572352373928;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3165.0;0.7839785569810039;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3243.0;0.801807482135351;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3498.0;0.8034116840027439;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3570.0;0.8232354713374472;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3694.0;0.8255862212077193;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3765.0;0.8487704918032786;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3834.0;0.8495333228641071;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3889.0;0.8510570802889831;false
AECS;(5)-anonymity;1.0;SS13ACS_25;3961.0;0.8817445198679938;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4085.0;0.8854165969381949;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4156.0;0.9142620974912565;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4279.0;0.9170957369158232;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4344.0;0.9401308360266344;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4462.0;0.9428821356832761;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4526.0;0.966589972198255;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4639.0;0.9692583067979503;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4709.0;0.9765535646206633;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4768.0;0.9798490661762375;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4804.0;0.9844414086217365;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4807.0;0.9864019710035061;false
