;;;;Flash;Total;Discovery;Utility
Utility measure;Privacy model;Suppression limit;Dataset;Value;Value;Value;Value
AECS;(5)-anonymity;0.0;ADULT;35.0;1875.0;0.0;-1.0
AECS;(5)-anonymity;0.0;CUP;41.0;2167.0;0.0;-1.0
AECS;(5)-anonymity;0.0;FARS;73.0;3808.0;0.0;-1.0
AECS;(5)-anonymity;0.0;ATUS;306.0;26352.0;0.0;-1.0
AECS;(5)-anonymity;0.0;IHIS;2480.0;131701.0;0.0;-1.0
AECS;(5)-anonymity;1.0;ADULT;1285.0;1859.0;61.0;0.0
AECS;(5)-anonymity;1.0;CUP;27904.0;30500.0;11024.0;0.0
AECS;(5)-anonymity;1.0;FARS;3432.0;3983.0;2782.0;0.0
AECS;(5)-anonymity;1.0;ATUS;16622.0;26278.0;676.0;0.0
AECS;(5)-anonymity;1.0;IHIS;68663.0;189178.0;2434.0;0.0
AECS;(0.01)-uniqueness;0.0;ADULT;91.0;116.0;81.0;0.0
AECS;(0.01)-uniqueness;0.0;CUP;4550.0;1286.0;1173.0;9.870651381323707E-7
AECS;(0.01)-uniqueness;0.0;FARS;2826.0;9071.0;1154.0;2.287989313065599E-5
AECS;(0.01)-uniqueness;0.0;ATUS;152.0;65.0;66.0;0.0
AECS;(0.01)-uniqueness;0.0;IHIS;617.0;190.0;193.0;0.0
AECS;(0.01)-uniqueness;1.0;ADULT;9989.0;10888.0;78.0;0.0
AECS;(0.01)-uniqueness;1.0;CUP;119869.0;122292.0;85241.0;0.0
AECS;(0.01)-uniqueness;1.0;FARS;42161.0;43037.0;16996.0;0.0
AECS;(0.01)-uniqueness;1.0;ATUS;289580.0;303488.0;66.0;0.0
AECS;(0.01)-uniqueness;1.0;IHIS;739058.0;852474.0;189.0;0.0
Loss;(5)-anonymity;0.0;ADULT;28.0;2139.0;0.0;-1.0
Loss;(5)-anonymity;0.0;CUP;43.0;1289.0;0.0;-1.0
Loss;(5)-anonymity;0.0;FARS;73.0;5052.0;0.0;-1.0
Loss;(5)-anonymity;0.0;ATUS;307.0;40219.0;0.0;-1.0
Loss;(5)-anonymity;0.0;IHIS;2499.0;141113.0;0.0;-1.0
Loss;(5)-anonymity;1.0;ADULT;1591.0;2124.0;54.0;0.0
Loss;(5)-anonymity;1.0;CUP;35038.0;37273.0;4336.0;0.0
Loss;(5)-anonymity;1.0;FARS;4051.0;5061.0;129.0;0.0
Loss;(5)-anonymity;1.0;ATUS;19354.0;42031.0;279.0;0.0
Loss;(5)-anonymity;1.0;IHIS;79023.0;177113.0;2019.0;0.0
Loss;(0.01)-uniqueness;0.0;ADULT;223.0;197.0;63.0;0.0
Loss;(0.01)-uniqueness;0.0;CUP;20761.0;2748.0;2268.0;0.039302909652130284
Loss;(0.01)-uniqueness;0.0;FARS;4066.0;1746.0;1363.0;0.011548760734244127
Loss;(0.01)-uniqueness;0.0;ATUS;253.0;111.0;0.0;0.0
Loss;(0.01)-uniqueness;0.0;IHIS;1466.0;579.0;0.0;0.0
Loss;(0.01)-uniqueness;1.0;ADULT;16117.0;17464.0;68.0;0.0
Loss;(0.01)-uniqueness;1.0;CUP;305460.0;302642.0;239639.0;0.0
Loss;(0.01)-uniqueness;1.0;FARS;55808.0;58614.0;2310.0;0.0
Loss;(0.01)-uniqueness;1.0;ATUS;341921.0;349622.0;0.0;0.0
Loss;(0.01)-uniqueness;1.0;IHIS;880653.0;1137289.0;0.0;0.0
